district_id,district_name,school_id,school_name,address,city,state,zip,county,full_address,lon,lat
1976,Bend-LaPine Administrative SD 1,5650,Caldera High,60925 SE 15th ST,Bend,OR,97702,Deschutes,"60925 SE 15th ST Bend, OR 97702",-121.2868015,44.0113861
2082,Eugene SD 4J,4739,Camas Ridge Community Elem,1150 E 29th Ave,Eugene,OR,97403,Lane,"1150 E 29th Ave Eugene, OR 97403",-123.0765027,44.0253012
1995,Camas Valley SD 21J,3400,Camas Valley School,197 Main Camas Rd,Camas Valley,OR,97416,Douglas,"197 Main Camas Rd Camas Valley, OR 97416",-123.675849,43.0343023
1929,Canby SD 86,140,Canby High,721 SW 4th Ave,Canby,OR,97013,Clackamas,"721 SW 4th Ave Canby, OR 97013",-122.6994632,45.2561297
2142,Salem-Keizer SD 24J,733,Candalaria Elem,935 Hansen Ave S,Salem,OR,97302,Marion,"935 Hansen Ave S Salem, OR 97302",-123.0587933,44.91269459999999
1928,Oregon City SD 62,106,Candy Lane Elem,5901 SE Hull St,Milwaukie,OR,97267,Clackamas,"5901 SE Hull St Milwaukie, OR 97267",-122.6022846,45.3936491
1935,Seaside SD 10,5385,Cannon Beach Academy,3781 S Hemlock St,Cannon Beach,OR,97110,Clatsop,"3781 S Hemlock St Cannon Beach, OR 97110",-123.9594833,45.8675608
1994,South Umpqua SD 19,289,Canyonville School,124 N Main,Canyonville,OR,97417,Douglas,"124 N Main Canyonville, OR 97417",-123.280577,42.9280709
2180,Portland SD 1J,838,Capitol Hill Elem,8401 SW 17th Ave,Portland,OR,97219,Multnomah,"8401 SW 17th Ave Portland, OR 97219",-122.6959942,45.464172
1929,Canby SD 86,92,Carus School,14412 S Carus Rd,Oregon City,OR,97045,Clackamas,"14412 S Carus Rd Oregon City, OR 97045",-122.571326,45.27003029999999
1924,North Clackamas SD 12,4475,Cascade Heights Public Charter School,11326 SE 47th Ave,Milwaukie,OR,97222,Clackamas,"11326 SE 47th Ave Milwaukie, OR 97222",-122.6143227,45.4411029
1924,North Clackamas SD 12,4475,Cascade Heights Public Charter School,11326 SE 47th Ave,Milwaukie,OR,97222,Clackamas,"11326 SE 47th Ave Milwaukie, OR 97222",-122.6143227,45.4411029
2139,Cascade SD 5,810,Cascade Jr High,10226 Marion Rd SE,Turner,OR,97392,Marion,"10226 Marion Rd SE Turner, OR 97392",-122.9163267,44.8085808
2024,Hood River County SD,3372,Cascade Locks School,300 Wa-na-pa St,Cascade Locks,OR,97014,Hood River,"300 Wa-na-pa St Cascade Locks, OR 97014",-121.8922591,45.6671757
