district_id,district_name,school_id,school_name,school_year,min_grade,max_grade,all_grades,grades_served,school_level
1901,Corvallis SD 509J,5688,Corvallis Online,2022,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1902,Clackamas ESD,5829,LEEP (Life Enrichment Education Program),2024,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1902,Clackamas ESD,5829,LEEP (Life Enrichment Education Program),2025,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1902,Clackamas ESD,5829,LEEP (Life Enrichment Education Program),2026,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1902,Clackamas ESD,5836,Heron Creek Program,2024,1,12,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1-12,K-12
1902,Clackamas ESD,5836,Heron Creek Program,2025,2,12,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",2-12,Other
1902,Clackamas ESD,5836,Heron Creek Program,2026,1,12,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1-12,K-12
1902,Clackamas ESD,5837,Parrot Creek Program,2024,9,12,"9, 10, 11, 12",9-12,HS
1902,Clackamas ESD,5837,Parrot Creek Program,2025,8,12,"8, 9, 10, 11, 12",8-12,Other
1902,Clackamas ESD,5837,Parrot Creek Program,2026,8,12,"8, 10, 11, 12",8-12,Other
1922,West Linn-Wilsonville SD 3J,1272,Boeckman Creek Primary School,2019,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
